date,income
10/10/2018,14768
10/11/2018,26076
10/12/2018,16166
10/13/2018,20802
10/14/2018,19576
10/15/2018,18289
10/16/2018,23326
10/17/2018,25990
10/18/2018,32160
10/19/2018,56062
10/20/2018,29801
10/21/2018,67505
10/22/2018,25450
10/23/2018,31247
10/24/2018,20172
10/25/2018,26025
10/26/2018,30936
10/27/2018,18200
10/28/2018,36871
10/29/2018,25847
10/30/2018,28114
10/31/2018,18691
11/1/2018,24830
11/2/2018,20162
11/3/2018,19398
11/4/2018,21343
11/5/2018,21373
11/6/2018,17670
11/7/2018,21356
11/8/2018,27679
11/9/2018,19668
11/10/2018,17912
11/11/2018,20754
11/12/2018,24718
11/13/2018,20786
11/14/2018,25435
11/15/2018,62833
11/16/2018,32788
11/17/2018,24149
11/18/2018,21867
11/19/2018,34153
11/20/2018,26236
11/21/2018,27377
11/22/2018,62911
11/23/2018,21656
11/24/2018,24480
11/25/2018,21164
11/26/2018,18641
11/27/2018,17124
11/28/2018,23986
11/29/2018,22336
11/30/2018,22309
12/1/2018,20336
12/2/2018,19564
12/3/2018,21007
12/4/2018,19802
12/5/2018,25769
12/6/2018,30293
12/7/2018,20127
12/8/2018,20114
12/9/2018,20468
12/10/2018,20028
12/11/2018,47146
12/12/2018,25628
12/13/2018,21415
12/14/2018,20659
12/15/2018,16078
12/16/2018,19357
12/17/2018,16123
12/18/2018,16647
12/19/2018,24877
12/20/2018,20624
12/21/2018,17926
12/22/2018,29142
12/23/2018,19757
12/24/2018,19504
12/25/2018,37998
12/26/2018,64634
12/27/2018,26699
12/28/2018,22028
12/29/2018,21788
12/30/2018,47522
12/31/2018,46341
1/1/2019,24334
1/2/2019,21061
1/3/2019,22498
1/4/2019,21294
1/5/2019,20372
1/6/2019,19231
1/7/2019,15664
1/8/2019,16094
1/9/2019,16828
1/10/2019,18345
1/11/2019,16287
1/12/2019,19055
1/13/2019,18755
1/14/2019,16910
1/15/2019,15949
1/16/2019,16264
1/17/2019,19544
1/18/2019,18103
1/19/2019,17032
1/20/2019,21069
1/21/2019,16434
1/22/2019,19769
1/23/2019,14843
1/24/2019,17181
1/25/2019,24247
1/26/2019,17151
1/27/2019,17996
1/28/2019,21421
1/29/2019,21375
1/30/2019,20675
1/31/2019,20005
2/1/2019,27731
2/2/2019,21540
2/3/2019,29357
2/4/2019,23904
2/5/2019,22052
2/6/2019,34264
2/7/2019,26306
2/8/2019,33113
2/9/2019,24748
2/10/2019,34971
2/11/2019,24272
2/12/2019,21533
2/13/2019,25826
2/14/2019,22539
2/15/2019,21190
2/16/2019,20611
2/17/2019,25633
2/18/2019,57110
2/19/2019,26288
2/20/2019,21823
2/21/2019,28352
2/22/2019,35338
2/23/2019,21087
2/24/2019,23367
2/25/2019,18593
2/26/2019,29235
2/27/2019,21630
2/28/2019,25961
3/1/2019,22345
3/2/2019,26118
3/3/2019,26993
3/4/2019,22041
3/5/2019,32389
3/6/2019,25210
3/7/2019,91271
3/8/2019,38714
3/9/2019,26281
3/10/2019,30730
3/11/2019,20129
3/12/2019,17282
3/13/2019,19103
3/14/2019,18116
3/15/2019,23229
3/16/2019,20087
3/17/2019,23107
3/18/2019,20615
3/19/2019,21292
3/20/2019,18441
3/21/2019,16803
3/22/2019,16843
3/23/2019,30647
3/24/2019,23211
3/25/2019,19468
3/26/2019,16193
3/27/2019,22931
3/28/2019,18459
3/29/2019,16672
3/30/2019,21941
3/31/2019,23556
4/1/2019,18177
4/2/2019,16191
4/3/2019,15878
4/4/2019,15083
4/5/2019,16970
4/6/2019,15865
4/7/2019,15069
4/8/2019,15943
4/9/2019,18483
4/10/2019,32571
4/11/2019,34055
4/12/2019,20531
4/13/2019,19872
4/14/2019,21278
4/15/2019,19195
4/16/2019,18011
4/17/2019,15067
4/18/2019,13277
4/19/2019,14562
4/20/2019,13801
4/21/2019,16216
4/22/2019,14059
4/23/2019,13644
4/24/2019,14360
4/25/2019,14455
4/26/2019,11097
4/27/2019,13918
